,id,ELA_7,Math_7,ELA_8,Math_8
111,00117976,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
112,00116412,[' 4 '],[' 2 '],[' 5 '],[' 3 ']
113,00122140,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
114,00137955,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
115,00117619,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
116,00123030,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
117,00117617,[' 4 '],[' 3 '],[' 4 '],[' 2 ']
118,00117674,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
119,00117725,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
120,00118500,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
121,00117622,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
122,00142855,[' 4 '],[' 3 '],[' 3 '],[' 4 ']
123,00122869,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
124,00134904,[' 3 '],[' 3 '],[' 3 '],[' 4 ']
125,00122968,[' 5 '],[' 4 '],[' 5 '],[' 3 ']
126,00122955,[' 5 '],[' 3 '],[' 4 '],[' 4 ']
127,00117634,[' 5 '],[' 3 '],[' 5 '],[' 4 ']
128,00145265,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
129,00118078,[' 4 '],[' 4 '],[' 4 '],[' 5 ']
130,00121869,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
131,00117912,[' 4 '],[' 3 '],[' 4 '],[' 2 ']
132,00117487,[' 4 '],[' 4 '],[' 4 '],[' 3 ']
133,00119424,[' 4 '],[' 3 '],[' 4 '],[' 3 ']
134,00126101,[' 5 '],[' 3 '],[' 5 '],[' 4 ']
135,00117783,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
136,00117495,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
137,00117810,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
138,00117676,[' 4 '],[' 4 '],[' 4 '],[' 5 ']
139,00122094,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
140,00117442,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
141,00117497,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
142,00118195,[' 4 '],[' 5 '],[' 4 '],[' 5 ']
143,00124368,[' 4 '],[' 4 '],[' 4 '],[' 5 ']
144,00126842,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
145,00126844,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
146,00118254,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
147,00117639,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
148,00117915,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
149,00117831,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
150,00118955,[' 5 '],[' 5 '],[' 5 '],[' 4 ']
151,00117918,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
152,00123192,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
153,00138653,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
154,00117723,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
155,00119770,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
156,00127186,[' 4 '],[' 4 '],[' 3 '],[]
157,00121404,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
158,00121104,[' 3 '],[' 3 '],[' 4 '],[' 3 ']
159,00117819,[' 4 '],[' 3 '],[' 5 '],[' 4 ']
160,00118253,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
161,00118000,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
162,00127006,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
163,00122361,[],[],[' 4 '],[' 4 ']
164,00117806,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
165,00117441,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
166,00117502,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
167,00127657,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
168,00117485,[' 5 '],[' 3 '],[' 5 '],[' 4 ']
169,00122902,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
170,00117548,[' 4 '],[' 2 '],[' 3 '],[' 3 ']
171,00117817,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
172,00117759,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
173,00126590,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
174,00118725,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
175,00126534,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
176,00118024,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
177,00115841,[' 4 '],[' 3 '],[' 4 '],[' 3 ']
178,00122963,[' 4 '],[' 2 '],[' 4 '],[' 1 ']
179,00120166,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
180,00128507,[' 4 '],[' 3 '],[' 4 '],[' 3 ']
181,00117651,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
182,00117670,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
183,00117503,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
184,00116449,[' 4 '],[' 3 '],[' 3 '],[' 3 ']
185,00118359,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
186,00128772,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
187,00118889,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
188,00118168,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
189,00117452,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
190,00118681,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
191,00117514,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
192,00121102,[' 4 '],[' 4 '],[' 4 '],[' 5 ']
193,00117765,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
194,00131183,[],[],[' 5 '],[' 4 ']
195,00116507,[' 3 '],[' 2 '],[' 3 '],[' 2 ']
196,00118150,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
197,00145284,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
198,00115598,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
199,00134689,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
200,00132613,[' 4 '],[' 4 '],[' 5 '],[' 5 ']
201,00140983,[' 4 '],[' 4 '],[' 3 '],[' 4 ']
202,00117746,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
203,00117707,[' 5 '],[' 2 '],[' 5 '],[' 4 ']
204,00117431,[' 5 '],[' 3 '],[' 4 '],[' 4 ']
205,00118005,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
206,00117704,[' 5 '],[' 4 '],[' 4 '],[' 4 ']
207,00118251,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
208,00118812,[' 3 '],[' 3 '],[' 4 '],[' 4 ']
209,00117454,[' 5 '],[' 5 '],[' 5 '],[' 5 ']
210,00117149,[' 4 '],[' 3 '],[' 4 '],[' 4 ']
211,00117505,[' 5 '],[' 4 '],[' 5 '],[' 5 ']
212,00117739,[' 4 '],[' 4 '],[' 4 '],[' 4 ']
213,00118015,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
214,00117318,[' 4 '],[' 3 '],[' 3 '],[' 2 ']
215,00115686,[],[],[' 2 '],[' 2 ']
216,00117524,[' 5 '],[' 4 '],[' 5 '],[' 4 ']
217,00122906,[' 4 '],[' 4 '],[' 5 '],[' 4 ']
