,student_ids,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,target
638,159017,0,0,0,0,0
639,159386,0,0,0,0,0
640,118079,3,4,4,4,0
641,117712,3,3,3,4,0
642,140341,2,3,1,2,0
643,154633,3,0,4,3,0
644,118103,0,0,0,0,0
645,116491,1,4,1,4,0
646,116492,5,4,4,4,0
647,160155,0,0,0,0,0
648,154620,3,0,2,2,0
649,117864,3,4,4,4,0
650,116897,0,0,0,0,0
651,151353,1,2,2,2,0
652,118909,3,4,4,4,0
653,116625,3,4,1,3,0
654,116248,2,1,1,2,0
655,122362,3,3,2,3,0
656,115545,2,4,3,3,0
657,159737,0,0,0,0,0
658,126700,2,3,3,3,0
659,139875,2,4,3,4,0
660,117951,3,3,3,4,0
661,135717,3,5,2,5,0
662,121405,4,4,3,5,0
663,160165,0,0,0,0,0
664,118206,3,4,2,4,0
665,127952,2,3,1,3,0
666,148139,3,1,1,1,0
667,118752,1,3,1,1,0
668,148075,1,1,1,1,0
669,123204,4,5,0,0,0
670,125503,3,3,3,4,0
671,121859,3,4,4,4,0
672,117757,0,0,0,0,0
673,118092,0,0,2,1,0
674,150411,2,1,4,1,0
675,116890,0,0,0,0,0
676,117881,4,4,3,4,0
677,118274,4,4,3,4,0
678,141548,0,0,0,0,0
679,117638,3,4,1,4,0
680,117637,3,4,3,2,0
681,159398,0,0,0,0,0
682,117489,0,0,3,3,0
683,160717,0,0,0,0,0
684,145400,2,4,4,4,0
685,114519,0,0,0,0,0
686,117928,3,4,4,4,0
687,116458,0,0,0,0,0
688,117439,3,3,1,3,0
689,118715,4,5,4,5,0
690,123754,4,5,4,4,0
691,131327,3,4,4,4,0
692,117014,3,5,4,3,0
693,118334,3,4,3,4,0
694,121702,4,3,4,3,0
695,116555,3,3,2,2,0
696,154617,1,0,1,1,0
697,130779,3,3,3,3,0
698,117556,3,3,1,3,0
699,157404,0,0,1,0,0
700,160365,0,0,0,0,0
701,117778,1,2,4,1,0
702,127099,0,0,0,0,0
703,123516,3,4,3,4,0
704,118309,3,5,4,5,0
705,116835,2,2,3,2,0
706,159351,0,0,0,0,0
707,159120,0,0,0,0,0
708,144762,2,2,2,3,0
709,123573,3,3,3,4,0
710,152854,2,0,4,2,0
711,159209,0,0,0,0,0
712,117427,2,3,3,4,0
713,154857,2,0,4,1,0
714,117527,3,3,3,4,0
715,115623,3,4,1,4,0
716,139377,2,1,1,1,0
717,116636,4,4,4,4,0
718,118704,3,4,2,2,0
719,116755,0,1,0,1,0
720,118269,3,4,3,4,0
721,145958,3,2,2,3,0
722,158059,0,0,0,0,0
723,152732,1,1,1,2,0
724,118385,2,1,0,0,0
725,115812,2,3,2,2,0
726,127138,0,0,0,0,0
727,150754,2,1,3,1,0
728,154055,2,0,1,2,0
729,118470,3,3,3,3,0
730,117877,2,4,2,4,0
731,118140,4,4,4,4,0
732,155701,0,0,0,0,0
733,118474,0,0,1,4,0
734,141970,2,2,1,1,0
735,122962,2,3,3,3,0
736,159254,0,0,0,0,0
737,117319,0,0,0,0,0
738,115639,2,1,1,2,0
739,160803,0,0,0,0,0
740,160626,0,0,0,0,0
741,118726,3,2,0,0,0
742,117429,2,3,2,3,0
743,118383,2,3,0,0,0
744,146704,4,4,4,4,0
745,157197,0,0,0,1,0
746,117023,3,4,3,4,0
747,159121,0,0,0,0,0
748,118936,4,4,4,4,0
749,135156,4,5,4,5,0
750,118361,3,2,4,3,0
751,115865,1,2,2,3,0
752,118400,4,4,0,0,0
753,159279,0,0,0,0,0
754,117296,3,3,4,4,0
755,148669,2,2,2,2,0
756,117793,4,5,4,5,0
757,117145,0,0,0,0,0
758,129756,0,0,0,0,0
759,117775,1,1,1,2,0
760,149583,0,0,3,2,0
761,157159,0,0,1,0,0
762,115653,0,0,0,0,0
763,116260,2,3,3,3,0
764,153247,3,5,4,5,0
765,115941,3,3,0,0,0
766,115794,1,2,0,0,0
767,127491,3,5,3,4,0
768,118219,3,4,2,4,0
769,116671,3,2,2,4,0
770,117451,3,4,4,4,0
771,117434,2,3,2,3,0
772,158411,0,0,0,0,0
773,149235,2,3,3,3,0
774,115135,1,4,0,0,0
775,122964,4,4,4,4,0
776,137975,3,5,4,4,0
777,116738,2,1,2,1,0
778,141933,3,2,2,1,0
779,125359,4,5,4,4,0
780,143813,0,0,0,0,0
781,115662,3,4,1,4,0
782,150715,2,1,4,1,0
783,143157,2,4,2,3,0
784,148261,3,5,1,5,0
785,117652,0,0,0,0,0
786,115734,3,3,2,2,0
787,121602,2,4,3,3,0
788,154859,1,0,1,1,0
789,127100,3,5,4,5,0
790,117852,2,3,1,3,0
791,123048,4,5,4,5,0
792,117820,3,4,4,4,0
793,118510,3,5,4,4,0
794,119259,4,4,5,4,0
795,117853,4,3,4,4,0
796,159102,0,0,0,0,0
797,122873,2,3,2,4,0
798,118082,2,3,3,3,0
799,129552,3,4,4,5,0
800,117777,3,5,4,4,0
801,117832,2,4,3,4,0
802,155963,0,0,3,2,0
803,117656,2,4,2,4,0
804,149858,2,1,4,2,0
805,118291,2,4,2,2,0
806,159679,0,0,0,0,0
807,116721,2,3,1,4,0
808,133157,3,4,3,3,0
809,117377,4,3,4,2,0
810,156420,0,0,1,3,0
811,156419,0,0,3,4,0
812,115600,2,3,0,0,0
813,119364,4,5,4,5,0
814,150635,2,1,4,2,0
815,125059,3,3,3,1,0
816,116568,3,3,3,4,0
817,117709,4,5,4,5,0
818,158076,0,0,0,0,0
819,117659,3,2,3,2,0
820,159255,0,0,0,0,0
821,133260,2,4,1,4,0
822,117737,0,0,0,0,0
823,118107,0,0,2,4,0
824,158389,0,0,0,0,0
825,117982,2,4,4,3,0
826,118844,0,0,0,0,0
827,117931,2,3,3,3,0
828,160328,0,0,0,0,0
829,141656,0,0,0,0,0
830,117430,1,4,1,3,0
831,159756,0,0,0,0,0
832,146854,2,3,1,4,0
833,156488,0,0,3,2,0
834,132559,2,4,3,4,0
835,118160,3,4,2,4,0
836,128702,3,4,2,4,0
837,133302,2,3,2,2,0
838,124128,2,3,2,3,0
839,117733,2,3,3,3,0
840,118307,4,4,4,4,0
841,117621,3,4,3,4,0
842,118504,3,4,4,4,0
843,116031,3,4,1,4,0
844,123709,3,4,3,3,0
845,141763,3,4,4,4,0
846,118161,4,3,4,4,0
847,118810,0,0,0,0,0
848,122856,0,0,0,0,0
849,153625,2,0,1,1,0
850,118109,2,3,2,3,0
851,134807,2,4,3,4,0
852,159005,0,0,0,0,0
853,117807,4,4,4,4,0
854,117780,3,5,2,4,0
855,117735,0,0,4,3,0
856,116705,2,4,2,4,0
857,144405,3,1,2,1,0
858,155918,0,0,1,0,0
859,123315,3,3,2,3,0
860,159652,0,0,0,0,0
861,128114,4,5,4,4,0
862,117886,2,3,1,1,0
863,159664,0,0,0,0,0
864,125612,4,4,4,5,0
865,136312,3,4,2,4,0
866,113902,2,3,1,3,0
867,159458,0,0,0,0,0
868,122960,2,4,2,4,0
869,144415,4,4,4,4,0
870,118780,3,4,3,3,0
871,122138,3,4,4,4,0
872,158918,0,0,0,0,0
873,117808,3,4,4,4,0
874,156356,0,0,2,0,0
875,123041,2,4,2,3,0
876,117744,0,0,0,0,0
877,116048,0,0,2,4,0
878,159678,0,0,0,0,0
879,159280,0,0,0,0,0
880,136135,4,4,4,4,0
881,161008,0,0,0,0,0
882,123967,3,3,4,4,0
883,138428,3,4,3,1,0
884,118888,2,2,2,1,0
885,135225,4,5,0,0,0
