,id,Grade 7 Grades,Grade 8 Grades
26,00131340,"[' B+ ', ' A ', ' P ', ' A+ ', ' A+ ', ' A ', ' A ', ' P ', ' A+ ']","[' A ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ']"
27,00117916,"[' B+ ', ' A ', ' A+ ', ' A+ ', ' B+ ', ' B ', ' A+ ', ' A ', ' P ']","[' B ', ' C+ ', ' A+ ', ' A+ ', ' B ', ' C+ ', ' A+ ', ' B+ ']"
28,00123726,"[' C+ ', ' C+ ', ' A+ ', ' A+ ', ' B ', ' B ', ' P ', ' A ']","[' A ', ' B+ ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' A ', ' A ']"
29,00117562,"[' A ', ' A ', ' B+ ', ' 88 ', '   ', '   ', ' A ', ' A ', ' A ', ' A ', ' A ']","[' A ', ' B ', ' P ', ' A ', ' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ']"
30,00118471,"[' B ', ' B ', ' B+ ', '   ', '   ', ' B+ ', ' B ', ' A ', ' A ', ' A ']","[' A ', ' A+ ', ' A ', ' A ', ' P ', ' A+ ', ' B+ ', ' A ', ' A+ ', ' A+ ']"
31,00118147,"['   ', '   ', ' B ', ' D ', ' P ', ' A+ ', ' A+ ', ' B ', ' B ', ' P ', ' A+ ']","[' B ', ' C+ ', ' A ', ' A+ ', ' B+ ', ' A ', ' A ', ' A+ ']"
32,00117122,"[' C+ ', ' A ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' A+ ', ' A+ ', ' P ']","[' A+ ', ' A ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' A+ ', ' A+ ']"
33,00117563,"[' C ', ' C+ ', ' 92 ', ' C ', '   ', '   ', ' A ', ' C ', ' C+ ', ' B+ ', ' A ']","[' B+ ', ' A+ ', ' C+ ', ' D ', ' P ', ' A ', ' C ', ' B+ ', ' B+ ', ' A ']"
34,00125558,"[' B ', ' B+ ', ' C+ ', '   ', '   ', ' A ', ' B ', ' B+ ', ' B+ ', ' A ']","[' A ', ' B ', ' P ', ' A ', ' A ', ' A ', ' A ', ' B+ ', ' A ', ' A ']"
35,00118502,"[' C+ ', ' B+ ', ' A ', '   ', ' A ', ' B ', ' A ', ' A ']","[' A ', ' B ', ' P ', ' A ', ' A ', ' A ', ' A+ ', ' A+ ', ' A+ ']"
36,00141419,"['   ', '   ', ' B+ ', ' A+ ', ' B+ ', ' P ', ' A+ ', ' B+ ', ' A ', ' A ']","[' A ', ' A+ ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' A ', ' A+ ']"
37,00116062,"[' A ', ' B+ ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' B+ ']","[' A ', ' A+ ', ' A ', ' A ', ' P ', ' A ', ' A ', ' A ', ' A ', ' A+ ']"
38,00143681,"['   ', ' A ', '   ', ' A+ ', ' A ', ' A+ ', ' A ', ' A ', ' A ', ' A+ ']","[' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
39,00118798,"['   ', '   ', ' B+ ', ' A+ ', ' A+ ', ' A+ ', ' B+ ', ' A ', ' A ', ' A ']","[' A ', ' A+ ', ' A+ ', ' A+ ', ' B+ ', ' A+ ', ' A+ ', ' A+ ']"
40,00113361,"[' B+ ', ' A ', ' A ', ' B ', '   ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' B+ ', ' B+ ']","[' A+ ', ' A+ ', ' A ', ' A+ ', ' A ', ' A ', ' A ', ' A ', ' A+ ', ' A+ ']"
41,00116744,"[' A ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
42,00146702,"[' A ', ' B+ ', ' A ', ' A ', '   ', '   ', ' A+ ', ' A+ ', ' B+ ', ' A+ ', ' A ', ' A+ ']","[' A ', ' B ', ' P ', ' P ', ' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
43,00117665,"[' A ', ' A ', ' 92 ', ' A ', '   ', '   ', ' A+ ', ' A ', ' A ', ' A+ ']","[' A ', ' A+ ', ' A ', ' A+ ', ' P ', ' A ', ' A ', ' A ', ' A+ ', ' A ']"
44,00118247,"[' B ', ' B+ ', ' B ', '   ', '   ', ' A ', ' B ', ' A ', ' B+ ', ' A+ ']","[' A ', ' A+ ', ' B ', ' C+ ', ' P ', ' A ', ' B+ ', ' A ', ' A+ ', ' B+ ']"
45,00118503,"[' C ', ' B ', '   ', '   ', ' A ', ' C+ ', ' B+ ', ' A ', ' B+ ']","[' B+ ', ' A+ ', ' B ', ' A ', ' C+ ', ' B ', ' B+ ', ' A+ ', ' C+ ']"
46,00118019,"[' A ', '   ', ' A ', ' P ', ' A+ ', ' A+ ', ' A ', ' A ', ' P ', ' A+ ']","[' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
47,00127392,"[' A ', ' A ', '   ', '   ', ' A+ ', ' B+ ', ' A ', ' B+ ', ' A ']","[' A ', ' A+ ', ' A ', ' A+ ', ' P ', ' A ', ' A ', ' A ', ' A ', ' A ', ' A+ ']"
48,00117424,"[' C ', ' B+ ', ' C ', '   ', '   ', ' A ', ' C+ ', ' C+ ', ' A ', ' A+ ']","[' C+ ', ' A+ ', ' B+ ', ' C ', ' P ', ' A ', ' C+ ', ' C ', ' B ', ' A ', ' A ']"
49,00117582,"[' B+ ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ', ' P ']","[' A+ ', ' B ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' A+ ', ' A+ ']"
50,00127172,"[' B ', ' B+ ', ' A ', ' 91 ', '   ', '   ', ' A ', ' B+ ', ' B+ ', ' A ', ' B+ ']","[' B ', ' C+ ', ' A+ ', ' A ', ' B ', ' B ', ' A+ ', ' A ', ' A ', ' B+ ']"
51,00134673,"[' B ', ' A ', ' P ', ' A+ ', ' A+ ', ' B+ ', ' A ', '   ', ' A ', ' A+ ']","[' B+ ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' A ', ' A ']"
52,00122317,"[' B+ ', ' B ', ' A+ ', ' A+ ', ' B+ ', ' A ', ' A+ ', ' A+ ', ' P ']","[' A+ ', ' B ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' A+ ', ' A+ ']"
53,00120456,"[' B ', ' B+ ', ' C ', '   ', '   ', ' A ', ' B ', ' B+ ', ' A ', ' B+ ']","[' A ', ' A+ ', ' A ', ' A ', ' P ', ' A ', ' A ', ' A ', ' B+ ', ' A ', ' A+ ']"
54,00118031,"[' B+ ', '   ', ' A ', ' P ', ' A+ ', ' A+ ', ' A ', ' A ', '   ', ' P ', ' A+ ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
55,00117483,[],"[' B+ ', ' A ', ' P ', ' A+ ', ' A ', ' B+ ', ' A+ ', ' A ', ' A ']"
56,00119553,"['   ', '   ', ' B ', '   ', ' B+ ', ' A+ ', ' A+ ', ' A ', ' A ', ' P ', ' A ']","[' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
57,00117464,"[' B+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' P ', ' A+ ']","[' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ']"
58,00120503,"[' A ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A+ ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
59,00140852,"[' A+ ', ' A ', ' B+ ', ' A+ ', '   ', '   ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ']","[' A ', ' A+ ', ' A+ ', ' A+ ', ' P ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ']"
60,00115360,"[' C ', ' A ', ' 93 ', ' A ', '   ', ' A ', ' B ', ' B ', ' B+ ', ' A+ ']","[' B ', ' A+ ', ' B+ ', ' B ', ' P ', ' A ', ' B ', ' B+ ', ' B+ ', ' A ', ' A ']"
61,00117692,"[' A ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
62,00155847,[],"[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
63,00127512,"[' B ', ' B+ ', ' B+ ', '   ', '   ', ' A ', ' B ', ' B+ ', ' B+ ', ' B+ ']","[' B ', ' A+ ', ' C ', ' P ', ' B+ ', ' C ', ' B+ ', ' B ', ' A ', ' B+ ']"
64,00117585,"[' B ', ' B+ ', ' A ', '   ', ' A ', ' B+ ', ' A ', ' A ']","[' A ', ' C+ ', ' P ', ' A+ ', ' A ', ' B+ ', ' A ', ' A ', ' A+ ']"
65,00117897,"[' A ', ' B+ ', ' B+ ', '   ', '   ', ' A+ ', ' B+ ', ' A ', ' A ', ' A ']","[' B+ ', ' B+ ', ' P ', ' A+ ', ' A ', ' B+ ', ' A+ ', ' A ', ' A ']"
66,00123065,"[' B ', ' 78 ', ' B ', '   ', '   ', ' A ', ' C+ ', ' B ', ' B+ ', ' B ']","[' C+ ', ' A+ ', ' C ', ' P ', ' B+ ', ' D ', ' B+ ', ' B ', ' A ', ' B ']"
67,00126850,"[' B+ ', ' A ', ' P ', ' A ', ' A+ ', ' A ', ' A ', ' P ', ' A+ ']","[' A+ ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ']"
68,00118782,"[' A ', ' A ', ' B+ ', ' 88 ', '   ', '   ', ' A+ ', ' B+ ', ' A ', ' A ', ' B+ ']","[' A ', ' C+ ', ' P ', ' A+ ', ' A ', ' A ', ' A ', ' A+ ', ' A+ ']"
69,00117512,"[' B+ ', ' B+ ', ' B ', '   ', '   ', ' A ', ' C ', ' B+ ', ' A ']","[' A ', ' A+ ', ' A ', ' B+ ', ' P ', ' D ', ' B+ ', ' A ', ' B+ ', ' A ', ' A ']"
70,00145447,"[' B+ ', ' A ', ' B ', ' A+ ', ' B ', ' B+ ', ' P ', ' A ']","[' A ', ' C+ ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' A ', ' A ']"
71,00117861,"[' B+ ', ' B+ ', ' A ', '   ', ' A ', ' A ', ' A ', ' A ']","[' B+ ', ' A ', ' P ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ', ' A ']"
72,00122926,"[' C+ ', ' B+ ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', '   ', ' P ', ' A+ ']","[' B+ ', ' A ', ' B+ ', ' A+ ', ' A+ ', ' B+ ', ' A ', ' A ', ' A+ ']"
73,00117761,"['   ', '   ', ' C+ ', '   ', '   ', '   ', ' A+ ', ' B ', ' A+ ', ' A ', ' B+ ', ' P ', ' A+ ']","[' B+ ', ' B ', ' A+ ', ' A+ ', ' A ', ' B+ ', ' A+ ', ' A ']"
74,00122794,"[' C ', ' C+ ', ' A ', '   ', '   ', ' A+ ', ' B ', ' A ', ' B+ ', ' B+ ']","[' F ', ' A+ ', ' D ', ' A+ ', ' P ', ' P ', ' A+ ', ' B+ ', ' B+ ', ' B+ ', ' A+ ', ' A ']"
75,00117419,"[' A ', ' B+ ', ' 98 ', ' B+ ', '   ', '   ', ' A ', ' B+ ', ' A ', ' B+ ', ' B+ ']","[' A ', ' A ', ' A+ ', ' A ', ' A ', ' A ', ' A+ ', ' A ', ' A ', ' A+ ']"
76,00143862,"['   ', '   ', ' A ', ' A+ ', ' B+ ', ' A+ ', ' A ', ' A+ ', ' P ', ' A+ ']","[' A+ ', ' B+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
77,00117917,"[' B+ ', ' B ', ' B+ ', '   ', '   ', ' A+ ', ' B ', ' A ', ' B+ ', ' A ']","[' B+ ', ' C+ ', ' P ', ' B+ ', ' A ', ' A ', ' A ', ' A ', ' A+ ']"
78,00139896,"[' B ', ' C+ ', ' B+ ', ' C ', '   ', '   ', ' A+ ', ' C ', ' C+ ', ' A ', ' A ', ' B ']","[' B+ ', ' A ', ' A+ ', '   ', ' A ', ' P ', ' P ', ' A+ ', ' A ', ' A ', ' A ', ' A+ ']"
79,00117646,"[' A ', ' A+ ', ' B+ ', ' 92 ', '   ', '   ', ' A+ ', ' A ', ' A+ ', ' A ', ' A ']","[' A ', ' A+ ', ' P ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ', ' A ']"
80,00131475,"[' B ', ' B ', ' A+ ', ' A+ ', ' B ', ' B+ ', ' B+ ', ' A ', ' P ']","[' B+ ', ' B+ ', ' A+ ', ' A+ ', ' B ', ' B+ ', ' A+ ', ' A+ ']"
81,00117599,"[' B+ ', ' B+ ', ' 91 ', ' B+ ', '   ', ' A ', ' B+ ', ' B+ ', ' B+ ', ' A+ ']","[' B+ ', ' A ', ' A ', ' B+ ', ' A ', ' A ', ' A+ ', ' A ', ' A+ ', ' A ']"
82,00118223,"['   ', '   ', ' B ', ' B+ ', ' A+ ', ' A+ ', ' A ', ' B ', ' P ', ' A+ ']","[' A ', ' B+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A+ ']"
83,00118224,"[' B+ ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ', ' P ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ']"
84,00117465,"['   ', '   ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' P ', ' A+ ']","[' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
85,00148751,"['   ', ' B+ ', '   ', '   ', '   ', '   ', ' A ', ' A ', ' A+ ', ' A ', ' A ', ' A ', ' A+ ']","[' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
86,00116757,"[' C+ ', ' B+ ', ' 78 ', ' B ', '   ', '   ', ' A ', ' C+ ', ' B+ ', ' A ']","[' B ', ' A+ ', ' B ', ' C+ ', ' P ', ' A+ ', ' C ', ' B+ ', ' B ', ' A ', ' A ']"
87,00122019,"[' C ', ' B ', ' B ', ' B+ ', ' B+ ']","[' B ', ' A+ ', ' B ', ' C+ ', ' P ', ' A+ ', ' C+ ', ' B ', ' C+ ', ' A ']"
88,00123629,"[' A ', ' B+ ', ' A ', '   ', '   ', ' A+ ', ' B ', ' A ', ' B+ ', ' A ']","[' B+ ', ' B+ ', ' P ', ' A+ ', ' A ', ' B ', ' A+ ', ' A ', ' A ']"
89,00122952,"[' B+ ', ' B+ ', ' A ', '   ', '   ', ' A ', ' B+ ', ' A ', ' A ', ' A ']","[' A ', ' A+ ', ' P ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A ']"
90,00123118,"[' B+ ', ' B+ ', ' B ', '   ', '   ', ' A ', ' B+ ', ' B ', ' B+ ', ' A+ ']","[' B+ ', ' A+ ', ' B+ ', ' P ', ' A ', ' B+ ', ' A+ ', ' A ', ' A+ ', ' A ']"
91,00128797,"[' A ', ' C+ ', ' 96 ', ' B+ ', '   ', '   ', ' A ', ' B ', ' A ', ' B+ ', ' A ']","[' A ', ' A ', ' A ', ' A ', ' A ', ' A ', ' A ', ' A ', ' A ', ' A+ ']"
92,00128218,"[' C ', ' B+ ', ' A ', '   ', ' A ', ' B ', ' A ', ' B+ ']","[' A ', ' B+ ', ' P ', ' P ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
93,00118374,"[' B ', ' C ', ' A+ ', ' A+ ', ' A+ ', ' C+ ', ' B+ ', ' A ', ' B ']","[' B+ ', ' C+ ', ' A+ ', ' A+ ', ' B ', ' B+ ', ' A ', ' B+ ']"
94,00119257,"[' A+ ', ' A+ ', ' A ', '   ', '   ', ' A+ ', ' A ', ' A+ ', ' A ', ' A+ ']","[' A+ ', ' A+ ', ' P ', ' P ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
95,00117848,"[' B ', ' A ', ' A+ ', ' A+ ', ' B+ ', ' A ', ' A+ ', ' A+ ', ' P ']","[' A ', ' B+ ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' A ', ' A+ ']"
96,00117824,"[' A ', ' A ', ' B+ ', '   ', ' A ', ' A ', ' A+ ', ' A ']","[' B+ ', ' A ', ' P ', ' A+ ', ' A ', ' A ', ' A ', ' A ', ' A ']"
97,00115457,"['   ', ' B+ ', '   ', ' B ', ' P ', ' A+ ', ' A+ ', ' B+ ', ' A ', '   ', ' P ', ' B+ ']","[' A ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A ', ' A ']"
98,00136556,"[' A ', ' B+ ', ' A ', ' 87 ', '   ', '   ', ' A ', ' B+ ', ' A ', ' A ', ' A ']","[' A ', ' A ', ' A+ ', ' A ', ' A+ ', ' A ', ' A+ ', ' A ', ' A+ ', ' A ']"
99,00124809,"[' B ', ' A+ ', ' A ', ' A+ ', ' A ', ' B+ ', ' A ', ' A ']","[' A ', ' B+ ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' A+ ', ' A ']"
100,00118186,"[' B+ ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A ', ' P ']","[' B+ ', ' B+ ', ' A+ ', ' A+ ', ' B+ ', ' A ', ' A+ ', ' A+ ']"
101,00117522,"[' B+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A ', '   ', ' P ', ' A+ ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A+ ']"
102,00117684,"[' A ', ' B ', ' P ', ' A+ ', ' A+ ', ' B+ ', ' A ', ' P ', ' A ']","[' A ', ' B+ ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A+ ', ' A ']"
103,00122134,"[' A ', ' B+ ', ' B+ ', ' A+ ', ' A+ ', ' B ', ' A ', ' B+ ']","[' B ', ' B+ ', ' B ', ' A ', ' B ', ' A ', ' A ', ' A ', ' A ', ' A ']"
104,00126769,"[' A ', ' A ', ' 97 ', ' A+ ', '   ', '   ', ' A+ ', ' A ', ' A+ ', ' A+ ']","[' A+ ', ' A+ ', ' P ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ']"
105,00126653,"[' B ', ' B+ ', ' A ', '   ', '   ', ' A ', ' B+ ', ' A ', ' A ', ' A ']","[' B+ ', ' A ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ']"
106,00122871,"[' B+ ', ' B+ ', ' P ', ' A+ ', ' A+ ', ' B ', ' C+ ', ' P ', ' B+ ']","[' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A ']"
107,00117875,"[' B+ ', ' A+ ', ' A ', ' A+ ', ' A ', ' A ', ' A ', ' A+ ']","[' A+ ', ' A ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ']"
108,00116646,"['   ', '   ', '   ', '   ', ' C+ ', '   ', ' B+ ', ' A+ ', ' A+ ', ' B+ ', ' B+ ', ' P ', ' A+ ']","[' A ', ' A ', ' A ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ']"
109,00143054,"[' B+ ', ' B+ ', ' A+ ', '   ', '   ', ' A ', ' B ', ' A ', ' A ', ' A ']","[' B ', ' B ', ' P ', ' P ', ' A+ ', ' B ', ' B+ ', ' A ', ' A+ ', ' B+ ']"
110,00122097,"[' D ', ' A ', ' 8', ' C+ ', '   ', '   ', ' A ', ' C ', ' C+ ', ' B+ ', ' A ']","[' B+ ', ' A+ ', ' A ', ' A ', ' P ', ' B+ ', ' A ', ' B+ ', ' B ', ' A ', ' A ']"
111,00117976,"[' B+ ', ' A ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A ', ' A ', ' A+ ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A ', ' A+ ', ' A+ ']"
112,00116412,"[' B ', ' B ', ' 75 ', ' C+ ', '   ', '   ', ' A+ ', ' C+ ', ' B ', ' A+ ']","[' B ', ' C ', ' D ', ' A ', ' C ', ' A ', ' B ', ' A ', ' A ', ' A+ ']"
113,00122140,"[' A ', ' A+ ', ' A ', '   ', '   ', ' A ', ' A ', ' A+ ', ' A ', ' A ']","[' A+ ', ' B+ ', ' P ', ' A ', ' A ', ' A ', ' A+ ', ' A ', ' A+ ']"
114,00137955,"[' A ', ' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A+ ', ' P ']","[' A+ ', ' A+ ', ' A+ ', ' A+ ', ' A ', ' A+ ', ' A+ ', ' A+ ']"
