,Model Name,Test Accuracy Score,GS Model Name,GS Test Accuracy Score
0,LogisticRegression,0.9101123595505618,GS GradientBoost,0.9101123595505618
1,GradientBoost,0.9101123595505618,GS LogisticRegression,0.8932584269662921
2,XGBoost,0.9044943820224719,GS GradientBoost,0.8932584269662921
